Date,Band,date.x,month.x,Microfilaria_Infected,num_fieldsinspected,field1_erythrocytes,field2_erythrocytes,field3_erythrocytes,field4_erythrocytes,field5_erythrocytes,average_erythrocytes,total_erythrocytes,heterophil,lymphocyte,eosinophil,thrombocyte,monocyte,basophil,H.L_ratio,total_leukocyte,notes,Species,Extraction_date,MF,pox_type,Sex,PCR_sex,use_sex,Plumage,Estado.reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing.Chord,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,season,trad_season,wet_dry,month.y,Microscopy,PCR,Body_condition
16-Jan-24,SMA1398,28-Jun-23,June,U,25,700,649,538,685,644,643.2,16080,2,90,0,30,15,0,0.022222222,137,,PAR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,12.79456568
16-Jan-24,SMC065,28-Jun-23,June,U,25,608,767,692,800,572,687.8,17195,4,155,2,62,1,0,0.025806452,224,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,51.06000094
17-Jan-24,SM2078,7-Jun-23,June,I,25,580,639,800,400,580,599.8,14995,11,47,0,2,2,0,0.234042553,62,,FOR,NA,pos,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,24.50081887
17-Jan-24,SMA1377,7-Jun-23,June,U,25,596,584,519,516,543,551.6,13790,2,37,0,9,2,0,0.054054054,50,,FUL,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,2,2,dry,6,mic,NA,14.74370345
17-Jan-24,SM2092,20-Jun-23,June,I,25,695,725,800,678,537,687,17175,0,92,0,85,3,50,0,230,MUESTRA PARA PCR,FOR,NA,pos,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,17.53109842
17-Jan-24,SMC061,20-Jun-23,June,U,25,300,521,565,712,625,544.6,13615,0,154,0,7,6,12,0,179,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,39.24751505
17-Jan-24,SM2096,21-Jun-23,June,U,25,305,352,583,526,750,503.2,12580,2,125,0,1,2,0,0.016,130,,CRA,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,2,2,dry,6,mic,NA,35.58783252
26-Feb-24,SMC051,13-Jun-23,June,U,25,301,292,270,231,264,271.6,6790,0,48,0,0,0,0,0,48,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,41.87132537
26-Feb-24,SMC059,20-Jun-23,June,U,25,429,333,306,369,310,349.4,8735,4,114,2,90,8,0,0.035087719,218,muchos trombosites,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,6,mic,NA,42.48302077
27-Feb-24,SMC052,13-Jun-23,June,I,25,494,537,604,604,528,553.4,13835,4,117,1,40,6,0,0.034188034,168,,GAMO,NA,pos,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,44.83402599
27-Feb-24,SMC054,13-Jun-23,June,U,25,309,392,433,540,394,413.6,10340,1,105,2,83,1,0,0.00952381,192,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,6,mic,NA,47.94937008
27-Feb-24,SMC058,14-Jun-23,June,U,25,242,230,197,336,373,275.6,6890,0,47,2,15,1,0,0,65,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,37.58649142
1-Mar-24,SMC046,7-Jun-23,June,U,25,369,372,380,314,432,373.4,9335,10,150,0,63,1,3,0.066666667,227,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,6,mic,NA,42.76589098
1-Mar-24,SM2075,13-Jun-23,June,U,25,738,674,548,506,560,605.2,15130,20,165,0,52,11,0,0.121212121,248,,CRA,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,2,2,dry,6,mic,NA,40.91077293
1-Mar-24,SMC057,13-Jun-23,June,I,25,396,472,520,410,541,467.8,11695,3,70,0,54,0,1,0.042857143,128,,GAMO,NA,pos,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,6,mic,NA,54.04082383
5-Mar-24,SMC044,6-Jun-23,June,U,25,394,358,332,448,509,408.2,10205,11,61,2,30,14,1,0.180327869,119,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,48.33408172
5-Mar-24,SM2077,13-Jun-23,June,I,25,742,708,563,494,454,592.2,14805,57,54,5,41,3,NA,1.055555556,160,,FOR,NA,pos,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,31.29571644
8-Mar-24,SMA1378,7-Jun-23,June,U,25,590,433,559,497,543,524.4,13110,8,58,1,2,3,1,0.137931034,73,,FUL,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,14.65479994
8-Mar-24,SM2139,30-Jun-23,June,U,25,634,679,660,572,650,639,15975,1,132,2,21,0,0,0.007575758,156,,FOR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,6,mic,NA,19.73846861
